"dataset","country_id","initial_observations","final_observations","orig_dat_vars","substantive_dat_vars","final_variables","dup_observations_at_85","dup_observations_at_90","dup_observations_at_95","dup_observations_at_100"
"GAP_2007_Data","South Korea",718,718,961,582,108,2,0,0,0
"GAP_2007_Data","South Africa",1000,1000,961,582,158,4,0,0,0
"GAP_2007_Data","Slovakia_ballot_b",450,450,961,582,89,0,0,0,0
"GAP_2007_Data","Slovakia_ballot_a",450,450,961,582,72,0,0,0,0
"GAP_2007_Data","Senegal",700,700,961,582,157,2,2,2,0
"GAP_2007_Data","Russia",1002,1002,961,582,140,35,20,13,2
"GAP_2007_Data","Poland",504,504,961,582,144,2,2,2,0
"GAP_2007_Data","Peru",800,800,961,582,146,0,0,0,0
"GAP_2007_Data","Palestinian Territories",808,808,961,582,150,19,11,4,0
"GAP_2007_Data","Pakistan",2008,2008,961,582,146,122,47,14,0
"GAP_2007_Data","Nigeria",1128,1128,961,582,160,186,140,76,0
"GAP_2007_Data","Morocco",1000,1000,961,582,142,26,2,0,0
"GAP_2007_Data","Mexico",828,828,961,582,146,30,16,14,2
"GAP_2007_Data","Mali",700,700,961,582,153,2,2,0,0
"GAP_2007_Data","Malaysia",700,700,961,582,146,25,2,2,0
"GAP_2007_Data","Lebanon",1000,1000,961,582,146,232,146,57,0
"GAP_2007_Data","Kuwait",500,500,961,582,148,0,0,0,0
"GAP_2007_Data","Kenya",1000,1000,961,582,148,33,24,11,0
"GAP_2007_Data","Jordan",1000,1000,961,582,149,137,98,29,0
"GAP_2007_Data","Japan",762,762,961,582,111,0,0,0,0
"GAP_2007_Data","Ivory Coast",700,700,961,582,156,0,0,0,0
"GAP_2007_Data","Italy",501,501,961,582,112,5,0,0,0
"GAP_2007_Data","Israel",900,900,961,582,110,0,0,0,0
"GAP_2007_Data","Indonesia",1008,1008,961,582,152,10,7,0,0
"GAP_2007_Data","India",2043,2043,961,582,137,167,131,49,0
"GAP_2007_Data","Great Britain_ballot_b",500,500,961,582,72,0,0,0,0
"GAP_2007_Data","Great Britain_ballot_a",502,502,961,582,57,0,0,0,0
"GAP_2007_Data","Ghana",707,707,961,582,148,41,20,10,6
"GAP_2007_Data","Germany_ballot_b",500,500,961,582,69,0,0,0,0
"GAP_2007_Data","Germany_ballot_a",500,500,961,582,57,0,0,0,0
"GAP_2007_Data","France_ballot_b",502,502,961,582,73,0,0,0,0
"GAP_2007_Data","France_ballot_a",502,502,961,582,57,0,0,0,0
"GAP_2007_Data","Ethiopia",710,710,961,582,154,81,73,47,7
"GAP_2007_Data","Egypt",1000,1000,961,582,150,130,94,45,0
"GAP_2007_Data","Czech Republic_ballot_b",450,450,961,582,89,0,0,0,0
"GAP_2007_Data","Czech Republic_ballot_a",450,450,961,582,72,0,0,0,0
"GAP_2007_Data","China",3142,3142,961,582,118,92,37,13,2
"GAP_2007_Data","Chile",800,800,961,582,153,11,6,0,0
"GAP_2007_Data","Canada_ballot_b",503,503,961,582,69,0,0,0,0
"GAP_2007_Data","Canada_ballot_a",501,501,961,582,56,0,0,0,0
"GAP_2007_Data","Bulgaria",500,500,961,582,140,4,2,0,0
"GAP_2007_Data","Brazil",1000,1000,961,582,146,4,0,0,0
"GAP_2007_Data","Bolivia",834,834,961,582,146,11,10,4,0
"GAP_2007_Data","Bangladesh",1000,1000,961,582,148,3,0,0,0
"GAP_2007_Data","Argentina",800,800,961,582,151,10,6,4,0
